cities,neighborhoods,saleDates,addresses,helka,kinds,rooms,floors,sizes,prices,changes
אור עקיבא,אור עקיבא הותיקה,18.01.2021,הנשיא וייצמן 201,10622-178-7,דירה בבית קומות,3,ראשונה,51.30,"700,000",118% ב 11.6 שנים
אור עקיבא,אור עקיבא הותיקה,01.01.2021,הרצל 196,10622-41-28,דירה בבית קומות,3,שניה,46.78,"670,000",24% ב 3.5 שנים
אור עקיבא,אור עקיבא הותיקה,26.10.2020,חללי דקר 648,10646-195-13,דירה בבית קומות,4,קרקע,106.30,"1,050,000", 
אור עקיבא,אור עקיבא הותיקה,15.10.2020,הרצל 196,10622-41-1,דירה בבית קומות,2,ראשונה,45.31,"317,500", 
אור עקיבא,אור עקיבא הותיקה,15.10.2020,חללי דקר 645,10646-198-3,דירה בבית קומות,3,קרקע,53.10,"800,000", 
אור עקיבא,אור עקיבא הותיקה,02.10.2020,הנשיא וייצמן 203,10622-178-27,דירה בבית קומות,3,ראשונה,51.30,"700,000",0% ב 10.7 שנים
אור עקיבא,אור עקיבא הותיקה,21.06.2020,הרצל 196,10622-41-7,דירה בבית קומות,3,ראשונה,104.41,"283,000", 
אור עקיבא,אור עקיבא הותיקה,06.03.2020,ז'בוטינסקי 3,10646-60-1,קוטג' דו משפחתי,5, ,180,"1,750,000", 
אור עקיבא,אור עקיבא הותיקה,25.02.2020,דרדשתי 22,10615-142-1,קוטג' חד משפחתי,5, ,175,"2,150,000", 
אור עקיבא,אור עקיבא הותיקה,03.02.2020,הרצל 196,10622-41-12,דירה בבית קומות,2.5,שלישית,46.78,"650,000",22% ב 4.4 שנים
אור עקיבא,אור עקיבא הותיקה,24.10.2019,חללי דקר 645,10646-198-8,דירה בבית קומות,3,ראשונה,53.10,"270,000", 
אור עקיבא,אור עקיבא הותיקה,18.10.2019,בלפור 195,10622-176-14,דירה בבית קומות,3,קרקע,50.50,"745,000",35% ב 4 שנים
אור עקיבא,אור עקיבא הותיקה,03.10.2019,חללי דקר 648,10646-195-24,דירה בבית קומות,4.5,שניה,103.70,"930,000", 
אור עקיבא,אור עקיבא הותיקה,28.08.2019,הרב מלול יוסף 613,10622-81-9,דירה בבית קומות,3,ראשונה,44.60,"650,000",163% ב 15.4 שנים
אור עקיבא,אור עקיבא הותיקה,22.08.2019,בלפור 195,10622-176-11,דירה בבית קומות,3,שניה,50.50,"200,000", 
אור עקיבא,אור עקיבא הותיקה,22.08.2019,הרצל 196,10622-41-36,דירה בבית קומות,3,שלישית,46.78,"650,000",23% ב 4.5 שנים
אור עקיבא,אור עקיבא הותיקה,18.07.2019,הרצל 196,10622-41-2,דירה בבית קומות,3,ראשונה,46.21,"146,000", 
אור עקיבא,אור עקיבא הותיקה,26.06.2019,הרב מלול יוסף 613,10622-81-10,דירה בבית קומות,3,ראשונה,44.60,"675,000", 
אור עקיבא,אור עקיבא הותיקה,02.06.2019,בן יהודה 13,10622-100-1,קרקע למגורים,0, , ,"1,430,000", 
אור עקיבא,אור עקיבא הותיקה,28.04.2019, ,10622-54-1,קוטג' דו משפחתי,3, ,70,"1,480,000", 
אור עקיבא,אור עקיבא הותיקה,15.04.2019, ,10646-183-12,דירה בבית קומות,4, ,120,"1,250,000", 
אור עקיבא,אור עקיבא הותיקה,04.04.2019,הנשיא וייצמן 203,10622-178-21,דירה בבית קומות,4,קרקע,108.30,"900,000", 
אור עקיבא,אור עקיבא הותיקה,17.01.2019,חללי דקר 647,10646-196-3,דירה בבית קומות,3,קרקע,53.10,"789,000", 
אור עקיבא,אור עקיבא הותיקה,21.11.2018,חללי דקר 648,10646-195-3,דירה בבית קומות,4,ראשונה,110.90,"800,000", 
אור עקיבא,אור עקיבא הותיקה,23.10.2018,הנשיא וייצמן 203,10622-178-24,דירה בבית קומות,5,ראשונה,101,"945,000", 
אור עקיבא,אור עקיבא הותיקה,30.08.2018,חללי דקר 648,10646-195-1,דירה בבית קומות,5,קרקע,113,"1,150,000", 
אור עקיבא,אור עקיבא הותיקה,20.08.2018,בלפור 641,10622-144-15,דירה בבית קומות,3,שלישית,51.70,"625,000",20% ב 2.7 שנים
אור עקיבא,אור עקיבא הותיקה,24.05.2018,חללי דקר 648,10646-195-9,דירה בבית קומות,5,ראשונה,108.40,"1,035,000",51% ב 6.5 שנים
אור עקיבא,אור עקיבא הותיקה,08.05.2018,הרצל 196,10622-41-18,דירה בבית קומות,3,שלישית,46.78,"630,000", 
אור עקיבא,אור עקיבא הותיקה,02.05.2018,חללי דקר 648,10646-195-11,דירה בבית קומות,4.5,שניה,101.10,"1,020,000",47% ב 6.7 שנים
אור עקיבא,אור עקיבא הותיקה,12.02.2018,איחוד העם 640,10622-145-4,דירה בבית קומות,3,קרקע,51.70,"580,000", 
אור עקיבא,אור עקיבא הותיקה,10.01.2018,חללי דקר 645,10646-198-14,דירה בבית קומות,3,שלישית,53.10,"700,000", 
אור עקיבא,אור עקיבא הותיקה,20.12.2017,חללי דקר 647,10646-196-15,דירה בבית קומות,3,שלישית,53.10,"725,000", 
אור עקיבא,אור עקיבא הותיקה,24.10.2017,ז'בוטינסקי 9,10646-49-4,דירה בבית קומות,4,שלישית,107,"1,390,000", 
אור עקיבא,אור עקיבא הותיקה,23.10.2017,בלפור 195,10622-176-23,דירה בבית קומות,3,שניה,50.50,"770,000",24% ב 4 שנים
אור עקיבא,אור עקיבא הותיקה,17.09.2017,רוטשילד 14,10639-22-1,קוטג' דו משפחתי,5, ,200,"1,950,000", 
אור עקיבא,אור עקיבא הותיקה,14.09.2017,בלפור 614,10622-80-4,דירה בבית קומות,3,ראשונה,44.60,"662,000", 
אור עקיבא,אור עקיבא הותיקה,28.08.2017,ז'בוטינסקי 9,10646-49-3,דירה בבית קומות,4,ראשונה,101,"1,340,000", 
אור עקיבא,אור עקיבא הותיקה,22.08.2017,הרצל 196,10622-41-5,דירה בבית קומות,3,שלישית,45.88,"710,000", 
אור עקיבא,אור עקיבא הותיקה,22.08.2017,ז'בוטינסקי 9,10646-49-1,דירה בבית קומות,4,שישית,100,"1,380,000", 
אור עקיבא,אור עקיבא הותיקה,22.08.2017,ז'בוטינסקי 9,10646-49-2,דירה בבית קומות,5,חמישית,107,"1,410,000", 
אור עקיבא,אור עקיבא הותיקה,22.08.2017,ז'בוטינסקי 9,10646-49-5,דירה בבית קומות,5,חמישית,107,"1,440,000", 
אור עקיבא,אור עקיבא הותיקה,07.08.2017,הנשיא וייצמן 200,10622-46-4,דירה בבית קומות,4,שניה,93.93,"820,000", 
אור עקיבא,אור עקיבא הותיקה,27.07.2017,ז'בוטינסקי 9,10646-49-6,דירה בבית קומות,5,תשיעית,107,"1,435,000", 
אור עקיבא,אור עקיבא הותיקה,09.06.2017,בלפור 641,10622-144-4,דירה בבית קומות,3,קרקע,51.70,"650,000", 
אור עקיבא,אור עקיבא הותיקה,02.06.2017, ,10615-135-2,קוטג' דו משפחתי,4,ראשונה,100,"1,200,000", 
אור עקיבא,אור עקיבא הותיקה,03.05.2017, ,10622-154-1,קוטג' דו משפחתי,6,ראשונה,150,"1,483,000", 
אור עקיבא,אור עקיבא הותיקה,19.04.2017, ,10646-183-11,דירה בבית קומות,5,שישית,118,"1,460,000", 
אור עקיבא,אור עקיבא הותיקה,09.04.2017, ,10646-183-10,דירה בבית קומות,5, ,107,"1,460,000", 
אור עקיבא,אור עקיבא הותיקה,16.03.2017, ,10646-183-13,דירה בבית קומות,4,שניה,100,"1,355,000", 
אור עקיבא,אור עקיבא הותיקה,15.03.2017,חללי דקר 648,10646-195-6,דירה בבית קומות,4,שניה,101.10,"765,000", 
אור עקיבא,אור עקיבא הותיקה,14.03.2017,הנשיא וייצמן 197,10622-42-3,דירה בבית קומות,3,ראשונה,50.80,"482,000", 
אור עקיבא,אור עקיבא הותיקה,24.01.2017,הרב מלול יוסף 613,10622-81-12,דירה בבית קומות,3,שניה,44.60,"600,000",20% ב 3.6 שנים
אור עקיבא,אור עקיבא הותיקה,23.12.2016,בלפור 641,10622-144-7,דירה בבית קומות,3,ראשונה,51.70,"685,000", 
אור עקיבא,אור עקיבא הותיקה,05.09.2016, ,10646-183-14,דירה בבית קומות,5,שניה,118,"1,419,000", 
אור עקיבא,אור עקיבא הותיקה,04.09.2016, ,10646-183-15,דירה בבית קומות,5,אחת עשרה,107,"1,488,000", 
אור עקיבא,אור עקיבא הותיקה,30.08.2016, ,10646-183-16,דירה בבית קומות,5,רביעית,118,"1,439,000", 
אור עקיבא,אור עקיבא הותיקה,08.08.2016,בלפור 614,10622-80-5,דירה בבית קומות,3,שניה,44.60,"580,000",65% ב 3.9 שנים
אור עקיבא,אור עקיבא הותיקה,27.07.2016,הנשיא וייצמן 203,10622-178-22,דירה בבית קומות,3,קרקע,51.30,"300,000",87% ב 15.6 שנים
אור עקיבא,אור עקיבא הותיקה,03.07.2016, ,10646-183-17,דירה בבית קומות,4,ראשונה,95,"1,285,000", 
אור עקיבא,אור עקיבא הותיקה,07.06.2016, ,10646-183-9,דירה בבית קומות,4,שמינית,95,"1,335,000", 
אור עקיבא,אור עקיבא הותיקה,25.05.2016, ,10646-183-8,דירה בבית קומות,4,שלישית,95,"1,270,000", 
אור עקיבא,אור עקיבא הותיקה,19.05.2016, ,10646-183-7,דירה בבית קומות,4,שמינית,95,"1,290,000", 
אור עקיבא,אור עקיבא הותיקה,18.05.2016, ,10646-183-18,דירה בבית קומות,4,שלישית,95,"1,255,000", 
אור עקיבא,אור עקיבא הותיקה,18.05.2016, ,10646-183-6,דירה בבית קומות,4,רביעית,95,"1,260,000", 
אור עקיבא,אור עקיבא הותיקה,17.05.2016, ,10646-183-4,דירה בבית קומות,4,עשירית,95,"1,325,000", 
אור עקיבא,אור עקיבא הותיקה,17.05.2016, ,10646-183-5,דירה בבית קומות,5,חמישית,107,"1,340,000", 
אור עקיבא,אור עקיבא הותיקה,21.04.2016, ,10646-183-19,דירה בבית קומות,4,עשירית,95,"1,329,000", 
אור עקיבא,אור עקיבא הותיקה,21.04.2016, ,10646-183-3,דירה בבית קומות,5,תשיעית,107,"1,435,000", 
אור עקיבא,אור עקיבא הותיקה,28.03.2016, ,10646-183-20,דירה בבית קומות,5,רביעית,118,"1,398,000", 
אור עקיבא,אור עקיבא הותיקה,23.03.2016, ,10646-183-21,דירה בבית קומות,5,שניה,107,"1,290,000", 
אור עקיבא,אור עקיבא הותיקה,22.01.2016,חללי דקר 648,10646-195-5,דירה בבית קומות,4,שניה,103.90,"760,000", 
אור עקיבא,אור עקיבא הותיקה,05.01.2016,חללי דקר 645,10646-198-1,דירה בבית קומות,3,קרקע,32.60,"465,000",63% ב 5.1 שנים
אור עקיבא,אור עקיבא הותיקה,05.01.2016,רוטשילד 13,10639-56-1,קוטג' דו משפחתי,3,ראשונה,90,"1,189,000", 
אור עקיבא,אור עקיבא הותיקה,04.01.2016, ,10646-183-22,דירה בבית קומות,5,רביעית,107,"1,260,000", 
אור עקיבא,אור עקיבא הותיקה,31.12.2015, ,10646-183-23,דירה בבית קומות,4,חמישית,95,"1,176,000", 
אור עקיבא,אור עקיבא הותיקה,24.12.2015, ,10646-183-24,דירה בבית קומות,4,אחת עשרה,95,"1,276,000", 
אור עקיבא,אור עקיבא הותיקה,20.12.2015, ,10646-183-25,דירה בבית קומות,5, ,118,"1,300,000", 
אור עקיבא,אור עקיבא הותיקה,13.12.2015, ,10646-183-26,דירה בבית קומות,4,שישית,95,"1,170,000", 
אור עקיבא,אור עקיבא הותיקה,09.12.2015,ז'בוטינסקי 4,10646-33-1,קוטג' חד משפחתי,8, ,140,"2,050,000", 
אור עקיבא,אור עקיבא הותיקה,08.12.2015, ,10646-183-27,דירה בבית קומות,5,שישית,118,"1,340,000", 
אור עקיבא,אור עקיבא הותיקה,02.12.2015, ,10646-183-28,דירה בבית קומות,4,שניה,95,"1,120,000", 
אור עקיבא,אור עקיבא הותיקה,18.11.2015, ,10646-183-29,דירה בבית קומות,5,חמישית,118,"1,295,000", 
אור עקיבא,אור עקיבא הותיקה,12.11.2015, ,10646-183-30,דירה בבית קומות,5,שישית,107,"1,283,000", 
אור עקיבא,אור עקיבא הותיקה,10.11.2015,הנשיא וייצמן 199,10622-45-6,דירה בבית קומות,2,קרקע,50.98,"590,000", 
אור עקיבא,אור עקיבא הותיקה,09.11.2015, ,10646-183-31,דירה בבית קומות,4,שישית,95,"1,189,000", 
אור עקיבא,אור עקיבא הותיקה,02.11.2015, ,10646-183-32,דירה בבית קומות,5,עשירית,107,"1,300,000", 
אור עקיבא,אור עקיבא הותיקה,29.10.2015, ,10646-183-33,דירה בבית קומות,4,שמינית,95,"1,140,000", 
אור עקיבא,אור עקיבא הותיקה,27.10.2015, ,10646-183-34,דירה בבית קומות,5,חמישית,118,"1,279,000", 
אור עקיבא,אור עקיבא הותיקה,22.10.2015, ,10646-183-36,דירה בבית קומות,4,שמינית,95,"1,152,000", 
אור עקיבא,אור עקיבא הותיקה,21.10.2015, ,10646-183-37,דירה בבית קומות,4,תשיעית,100,"1,160,000", 
אור עקיבא,אור עקיבא הותיקה,15.10.2015, ,10646-183-39,דירה בבית קומות,5,שניה,118,"1,231,000", 
אור עקיבא,אור עקיבא הותיקה,14.10.2015,בלפור 641,10622-144-2,דירה בבית קומות,3,קרקע,51.70,"650,000",47% ב 3.2 שנים
אור עקיבא,אור עקיבא הותיקה,14.10.2015, ,10646-183-40,דירה בבית קומות,4,אחת עשרה,95,"1,230,000", 
אור עקיבא,אור עקיבא הותיקה,13.10.2015, ,10646-183-41,דירה בבית קומות,5,רביעית,118,"1,255,000", 
אור עקיבא,אור עקיבא הותיקה,08.10.2015, ,10646-183-42,דירה בבית קומות,5,שביעית,107,"1,251,000", 
אור עקיבא,אור עקיבא הותיקה,07.10.2015, ,10646-183-44,דירה בבית קומות,4,ראשונה,101,"1,108,000", 
אור עקיבא,אור עקיבא הותיקה,10.09.2015, ,10646-183-45,דירה בבית קומות,5,שמינית,107,"1,299,000", 
אור עקיבא,אור עקיבא הותיקה,01.09.2015, ,10646-183-46,דירה בבית קומות,5,ראשונה,118,"1,227,000", 
אור עקיבא,אור עקיבא הותיקה,31.08.2015, ,10646-183-47,דירה בבית קומות,4,שלישית,118,"1,157,000", 
אור עקיבא,אור עקיבא הותיקה,18.08.2015, ,10646-183-49,דירה בבית קומות,5,שלישית,118,"1,198,000", 
אור עקיבא,אור עקיבא הותיקה,18.08.2015,רוטשילד 18,10615-187-1,קוטג' חד משפחתי,6, ,250,"1,800,000", 
אור עקיבא,אור עקיבא הותיקה,13.08.2015, ,10646-183-50,דירה בבית קומות,4,תשיעית,95,"1,105,000", 
אור עקיבא,אור עקיבא הותיקה,11.08.2015, ,10646-183-52,דירה בבית קומות,4,ראשונה,107,"1,065,000", 
אור עקיבא,אור עקיבא הותיקה,10.08.2015,הרצל 196,10622-41-30,דירה בבית קומות,3,שלישית,46.78,"495,000", 
אור עקיבא,אור עקיבא הותיקה,06.08.2015, ,10646-183-54,דירה בבית קומות,4,עשירית,95,"1,125,000", 
אור עקיבא,אור עקיבא הותיקה,04.08.2015, ,10646-183-55,דירה בבית קומות,5,שלישית,118,"1,215,000", 
אור עקיבא,אור עקיבא הותיקה,02.08.2015, ,10646-183-56,דירה בבית קומות,5,שלישית,118,"1,147,000", 
אור עקיבא,אור עקיבא הותיקה,01.08.2015,הרב מלול יוסף 605,10622-95-1,קוטג' דו משפחתי,5,ראשונה,197,"1,400,000", 
אור עקיבא,אור עקיבא הותיקה,30.07.2015, ,10646-183-59,דירה בבית קומות,4,רביעית,100,"1,045,000", 
אור עקיבא,אור עקיבא הותיקה,27.07.2015, ,10646-183-63,דירה בבית קומות,5,ראשונה,107,"1,167,000", 
אור עקיבא,אור עקיבא הותיקה,22.07.2015, ,10646-183-64,דירה בבית קומות,4,חמישית,107,"1,135,000", 
אור עקיבא,אור עקיבא הותיקה,20.07.2015, ,10646-183-65,דירה בבית קומות,4,שישית,100,"1,164,000", 
אור עקיבא,אור עקיבא הותיקה,19.07.2015, ,10646-183-67,דירה בבית קומות,4,רביעית,95,"1,180,000", 
